date,sentiment_score,volume
2018-07-20,-0.0342,5291
2018-07-21,-0.0443,6133
2018-07-22,-0.0387,7473
2018-07-23,-0.0083,7159
2018-07-24,-0.036,5828
2018-07-25,-0.0254,5696
2018-07-26,-0.0261,5434
2018-07-27,-0.0263,3748
2018-07-28,-0.0426,1152
2018-07-29,-0.0351,7255
2018-07-30,-0.0388,15624
2018-07-31,-0.0287,16496
2018-08-01,-0.0343,12202
2018-08-02,-0.0318,8664
2018-08-03,-0.0408,11428
2018-08-04,-0.0361,8664
2018-08-05,-0.0389,7250
2018-08-06,-0.0346,11000
2018-08-07,-0.0361,10815
2018-08-08,-0.0495,9187
2018-08-09,-0.0481,5171
2018-08-10,-0.0471,4625
2018-08-11,-0.0621,5869
2018-08-12,-0.0435,5212
2018-08-13,-0.0332,7948
2018-08-14,-0.0413,17819
2018-08-15,-0.0383,4902
2018-08-16,-0.049,4161
2018-08-17,-0.0368,2390
2018-08-18,-0.0361,2779
2018-08-19,-0.0446,4585
2018-08-20,-0.0467,5957
2018-08-21,-0.0145,8457
2018-08-22,-0.006,11896
2018-08-23,-0.0192,17388
2018-08-24,-0.047,23750
2018-08-25,-0.0371,23575
2018-08-26,-0.0305,15495
2018-08-27,-0.0091,18190
2018-08-28,-0.0421,17710
2018-08-29,-0.0424,15789
2018-08-30,-0.0203,13173
2018-08-31,-0.0125,18926
2018-09-01,-0.025,9463
2018-09-02,-0.0205,8646
2018-09-03,-0.0269,5665
2018-09-04,-0.0351,7295
2018-09-05,-0.0294,8297
2018-09-06,-0.0306,6122
2018-09-07,-0.0387,8215
2018-09-08,-0.023,6782
2018-09-09,-0.0314,7483
2018-09-10,-0.0354,8073
2018-09-11,-0.0275,9837
2018-09-12,-0.0303,6794
2018-09-13,-0.0342,5405
2018-09-14,-0.0422,15800
2018-09-15,-0.0401,6726
2018-09-16,-0.035,7660
2018-09-17,-0.0343,10243
2018-09-18,-0.0287,6823
2018-09-19,-0.035,5406
2018-09-20,-0.0347,6473
2018-09-21,-0.02,7497
2018-09-22,-0.0331,6893
2018-09-23,-0.0315,5422
